              yp,          delta_y,             gr_y,            AR_xy
        7.846376,         0.055008,         1.009894,         6.277476
        7.901932,         0.055556,         1.009961,         6.215561
        7.958046,         0.056113,         1.010029,         6.153844
        8.014725,         0.056680,         1.010097,         6.092330
        8.071981,         0.057256,         1.010166,         6.031019
        8.129824,         0.057842,         1.010235,         5.969915
        8.188262,         0.058438,         1.010305,         5.909021
        8.247306,         0.059045,         1.010376,         5.848338
        8.306968,         0.059661,         1.010447,         5.787870
        8.367257,         0.060289,         1.010519,         5.727619
        8.428184,         0.060928,         1.010592,         5.667587
        8.489762,         0.061577,         1.010666,         5.607777
        8.552001,         0.062239,         1.010740,         5.548192
        8.614912,         0.062912,         1.010814,         5.488833
        8.678509,         0.063597,         1.010890,         5.429704
        8.742804,         0.064294,         1.010966,         5.370807
        8.807808,         0.065004,         1.011043,         5.312144
        8.873535,         0.065727,         1.011121,         5.253718
        8.939999,         0.066463,         1.011199,         5.195532
        9.007212,         0.067213,         1.011279,         5.137587
        9.075188,         0.067976,         1.011359,         5.079886
        9.143942,         0.068754,         1.011440,         5.022432
        9.213488,         0.069546,         1.011521,         4.965226
        9.283841,         0.070353,         1.011604,         4.908272
        9.355017,         0.071175,         1.011687,         4.851572
        9.427030,         0.072013,         1.011771,         4.795128
        9.499897,         0.072867,         1.011856,         4.738942
        9.573634,         0.073737,         1.011942,         4.683017
        9.648258,         0.074624,         1.012029,         4.627355
        9.723787,         0.075528,         1.012117,         4.571958
        9.800237,         0.076450,         1.012205,         4.516829
        9.877627,         0.077390,         1.012295,         4.461970
        9.955976,         0.078349,         1.012385,         4.407384
       10.035302,         0.079326,         1.012477,         4.353072
       10.115625,         0.080323,         1.012569,         4.299037
       10.196965,         0.081340,         1.012662,         4.245282
       10.279343,         0.082378,         1.012757,         4.191807
       10.362780,         0.083437,         1.012852,         4.138616
       10.447297,         0.084517,         1.012949,         4.085712
       10.532917,         0.085620,         1.013046,         4.033095
       10.619662,         0.086745,         1.013145,         3.980768
       10.707556,         0.087894,         1.013244,         3.928734
       10.796623,         0.089067,         1.013345,         3.876995
       10.886888,         0.090265,         1.013447,         3.825552
       10.978376,         0.091488,         1.013550,         3.774408
       11.071113,         0.092737,         1.013654,         3.723566
       11.165126,         0.094013,         1.013760,         3.673026
       11.260443,         0.095317,         1.013866,         3.622792
       11.357091,         0.096649,         1.013974,         3.572865
       11.455101,         0.098010,         1.014083,         3.523248
       11.554502,         0.099401,         1.014193,         3.473942
       11.655324,         0.100823,         1.014304,         3.424950
       11.757601,         0.102276,         1.014417,         3.376274
       11.861363,         0.103762,         1.014531,         3.327915
       11.966645,         0.105282,         1.014647,         3.279876
       12.073482,         0.106836,         1.014763,         3.232159
       12.181908,         0.108426,         1.014881,         3.184766
       12.291961,         0.110053,         1.015001,         3.137698
       12.403678,         0.111717,         1.015122,         3.090958
       12.517098,         0.113420,         1.015244,         3.044547
       12.632261,         0.115163,         1.015367,         2.998468
       12.749208,         0.116947,         1.015493,         2.952723
       12.867982,         0.118774,         1.015619,         2.907313
       12.988626,         0.120644,         1.015747,         2.862241
       13.111185,         0.122560,         1.015877,         2.817507
       13.235707,         0.124522,         1.016008,         2.773115
       13.362238,         0.126531,         1.016141,         2.729065
       13.490829,         0.128591,         1.016275,         2.685360
       13.621530,         0.130701,         1.016411,         2.642002
       13.754394,         0.132864,         1.016549,         2.598993
       13.889475,         0.135081,         1.016688,         2.556333
       14.026830,         0.137354,         1.016829,         2.514025
       14.166515,         0.139685,         1.016971,         2.472072
       14.308591,         0.142076,         1.017115,         2.430473
       14.453120,         0.144529,         1.017261,         2.389232
       14.600165,         0.147045,         1.017409,         2.348350
       14.749791,         0.149627,         1.017558,         2.307829
